BANK_ID,ASSETS,COST,P_LABOR_w1,P_FUNDS_w2,P_DEPOSI_w3,CON_LOAN_y1,NONC_LOA_y2,SECURITI_y3,t,POLICY
3506,190414.162,11087.23229,24.39713562,0.013640357,0.046446845,4551.187195,135497.2056,50822.70794,8,3
3506,194986.4484,3095.716993,6.683541811,0.005704034,0.012415394,4217.284709,139784.4062,51471.40384,9,3
3506,207078.3946,6199.906838,13.5959485,0.009227484,0.024038739,4819.84862,154235.1558,48527.96804,10,3
3506,218606.2601,9630.711274,20.41527383,0.011239127,0.03630543,5276.375581,167249.2897,46580.22696,11,3
3506,225757.0157,13538.8675,27.93882797,0.019110795,0.049026581,5332.290532,173258.3679,47329.73197,12,3
3506,213080.2404,3967.876071,6.735093547,0.007643624,0.015368787,7218.138108,167199.5049,38529.30006,13,3
3506,211224.1956,7968.371466,13.55472579,0.016002337,0.031248772,6935.501361,166867.7109,37728.22376,14,3
3506,217467.7067,11917.66096,21.41662168,0.024290232,0.045052908,7794.387112,162664.768,47397.91205,15,3
3506,219417.4241,15819.48693,28.06453246,0.025066506,0.060313035,7671.863143,163552.9677,48212.19395,16,3
3506,219729.2175,3962.840103,7.341119574,0.006357962,0.014917894,7726.524799,163152.3389,48874.14671,17,3
3506,217487.4001,7827.184467,14.97288463,0.01241867,0.029870375,6656.682845,174567.8443,36361.43227,18,3
3506,217303.0668,11704.40565,21.75295787,0.019192693,0.044342632,7464.054833,170920.2855,39091.62561,19,3
3506,225844.8908,15599.44518,26.85565338,0.022930237,0.057069974,7896.248501,173707.1709,44341.00035,20,3
3506,238295.1484,4116.007108,7.397507417,0.004913777,0.014157445,7776.662347,174356.4398,56293.72447,21,3
3506,240650.8619,8052.014556,14.93062075,0.011074093,0.027110892,7331.442364,173824.9631,59477.58127,22,3
3506,327472.0151,13011.53396,19.87134819,0.009583952,0.031750091,8195.239364,209981.2307,109989.9291,23,3
3506,333047.7882,17908.55418,25.96702867,0.010516655,0.043194602,7266.394194,228581.4998,97114.08374,24,3
3506,332232.9886,4707.647428,7.232564056,0.00071736,0.011338333,6538.445292,229547.3772,96068.35966,25,3
3506,325524.7865,8999.606545,14.10844006,0.001276151,0.021948761,7534.84186,210805.7682,107454.5438,26,3
3506,317024.2852,12862.08079,21.90287595,0.002445486,0.031533815,5545.018758,208429.2071,103288.793,27,3
3506,329160.6689,16399.40303,27.94145089,0.003106318,0.038877684,5167.951008,212725.3148,111471.9373,28,3
3506,326702.9447,3437.988979,7.321396685,0.000122324,0.007394754,6702.579504,208668.8343,111239.1598,29,3
3506,324884.0565,6702.326798,14.6173065,0.000265745,0.0143421,6285.948168,202191.6906,116197.8257,30,3
3506,331438.7732,9953.18603,20.98248757,0.000346801,0.020633148,6370.743539,199945.1215,124670.5998,31,3
3506,335719.3914,13243.27896,29.55001781,0.00058924,0.026559188,6422.142134,205619.2474,123185.0324,32,3
3506,365017.4524,3252.623702,7.920861557,0.000177999,0.00563667,5657.219295,193244.2073,165647.629,33,3
3506,362220.3293,6614.960163,15.14242086,0.000365547,0.011868831,5178.091134,214782.7409,141663.2992,34,3
3506,360756.4486,10111.34603,23.07848031,0.00093985,0.018620626,5138.424314,216844.4867,138232.3206,35,3
